experiment,classifier,train_language,test_language,n_train,n_test,accuracy,f1_weighted,best_params
mandarin_to_mandarin,logistic_regression,mandarin,mandarin,14000,3500,0.9451428571428572,0.9452322048496653,"{'clf__C': 0.1, 'clf__class_weight': None}"
mandarin_to_mandarin,linear_svm,mandarin,mandarin,14000,3500,0.9494285714285714,0.9494356249603402,"{'clf__C': 0.1, 'clf__class_weight': None}"
mandarin_to_mandarin,mlp,mandarin,mandarin,14000,3500,0.9411428571428572,0.9412614923707956,"{'clf__alpha': 0.01, 'clf__hidden_layer_sizes': (128,)}"
english_to_english,logistic_regression,english,english,14000,3500,0.9271428571428572,0.9267528616609932,"{'clf__C': 0.1, 'clf__class_weight': None}"
english_to_english,linear_svm,english,english,14000,3500,0.9254285714285714,0.9250803151980269,"{'clf__C': 0.1, 'clf__class_weight': None}"
english_to_english,mlp,english,english,14000,3500,0.946,0.94596461785997,"{'clf__alpha': 0.01, 'clf__hidden_layer_sizes': (128,)}"
mandarin_to_english,logistic_regression,mandarin,english,17500,17500,0.5226857142857143,0.5109124305781285,"{'clf__C': 0.1, 'clf__class_weight': None}"
mandarin_to_english,linear_svm,mandarin,english,17500,17500,0.5327428571428572,0.5179925841845485,"{'clf__C': 0.01, 'clf__class_weight': None}"
mandarin_to_english,mlp,mandarin,english,17500,17500,0.5233714285714286,0.5161357103775776,"{'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (128,)}"
english_to_mandarin,logistic_regression,english,mandarin,17500,17500,0.542,0.4919146524356922,"{'clf__C': 0.01, 'clf__class_weight': None}"
english_to_mandarin,linear_svm,english,mandarin,17500,17500,0.5504,0.4977405354991913,"{'clf__C': 0.01, 'clf__class_weight': None}"
english_to_mandarin,mlp,english,mandarin,17500,17500,0.4949142857142857,0.4541901596354193,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (256, 128)}"
